ID,annotation_count,reliability,volume,page,frame,balloon_num,outer_num,background_num,character_num,balloon_text_1,balloon_text_2,balloon_text_3,balloon_text_4,balloon_text_5,balloon_text_6,balloon_text_7,balloon_text_8,balloon_text_9,balloon_text_10,balloon_speaker_1,balloon_speaker_2,balloon_speaker_3,balloon_speaker_4,balloon_speaker_5,balloon_speaker_6,balloon_speaker_7,balloon_speaker_8,balloon_speaker_9,balloon_speaker_10,balloon_listener_1,balloon_listener_2,balloon_listener_3,balloon_listener_4,balloon_listener_5,balloon_listener_6,balloon_listener_7,balloon_listener_8,balloon_listener_9,balloon_listener_10,balloon_shape_1,balloon_shape_2,balloon_shape_3,balloon_shape_4,balloon_shape_5,balloon_shape_6,balloon_shape_7,balloon_shape_8,balloon_shape_9,balloon_shape_10,outer_text_1,outer_text_2,outer_text_3,outer_text_4,outer_text_5,outer_text_6,outer_text_7,outer_text_8,outer_text_9,outer_text_10,outer_owner_1,outer_owner_2,outer_owner_3,outer_owner_4,outer_owner_5,outer_owner_6,outer_owner_7,outer_owner_8,outer_owner_9,outer_owner_10,outer_type_1,outer_type_2,outer_type_3,outer_type_4,outer_type_5,outer_type_6,outer_type_7,outer_type_8,outer_type_9,outer_type_10,background_text_1,background_text_2,background_text_3,background_text_4,background_text_5,background_text_6,background_text_7,background_text_8,background_text_9,background_text_10,background_media_1,background_media_2,background_media_3,background_media_4,background_media_5,background_media_6,background_media_7,background_media_8,background_media_9,background_media_10,character_who_1,character_who_2,character_who_3,character_who_4,character_who_5,character_who_6,character_who_7,character_who_8,character_who_9,character_who_10,character_who_11,character_who_12,character_who_13,character_who_14,character_who_15,character_face_direction_1,character_face_direction_2,character_face_direction_3,character_face_direction_4,character_face_direction_5,character_face_direction_6,character_face_direction_7,character_face_direction_8,character_face_direction_9,character_face_direction_10,character_face_direction_11,character_face_direction_12,character_face_direction_13,character_face_direction_14,character_face_direction_15,character_behavior_a_1,character_behavior_a_2,character_behavior_a_3,character_behavior_a_4,character_behavior_a_5,character_behavior_a_6,character_behavior_a_7,character_behavior_a_8,character_behavior_a_9,character_behavior_a_10,character_behavior_a_11,character_behavior_a_12,character_behavior_a_13,character_behavior_a_14,character_behavior_a_15,character_behavior_b_1,character_behavior_b_2,character_behavior_b_3,character_behavior_b_4,character_behavior_b_5,character_behavior_b_6,character_behavior_b_7,character_behavior_b_8,character_behavior_b_9,character_behavior_b_10,character_behavior_b_11,character_behavior_b_12,character_behavior_b_13,character_behavior_b_14,character_behavior_b_15
01_015_06,0,,1,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_015_07,0,,1,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_015_08,0,,1,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_01,0,,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_02,0,,1,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_03,0,,1,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_04,0,,1,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_05,0,,1,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_06,0,,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_07,0,,1,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_016_08,0,,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_017_01,0,,1,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_017_02,0,,1,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_017_03,0,,1,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_017_04,0,,1,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_017_05,0,,1,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
